Investigation_number,Investigation_title,country,Date Instituted,Staff Conference,Preliminary Determination,pub_no,hearing_date,Final Determination,pub_no
701-TA-650,Phosphate Fertilizers,Morocco,06-29-20,07-17-20,Affirmative,5105,N/A,N/A,N/A
701-TA-651,Phosphate Fertilizers,Russia,06-29-20,07-17-20,Affirmative,5105,N/A,N/A,N/A
701-TA-652,Silicon Metal,Kazakhstan,07-01-20,07-21-20,Affirmative,5107,N/A,N/A,N/A
731-TA-1524,Silicon Metal  Bosnia- Herzegovina,#REF!,07-01-20,07-21-20,Affirmative,5107,N/A,N/A,N/A
731-TA-1525,Silicon Metal,Iceland,07-01-20,07-21-20,Affirmative,5107,N/A,N/A,N/A
731-TA-1526,Silicon Metal,Malaysia,07-01-20,07-21-20,Affirmative,5107,N/A,N/A,N/A
701-TA-653,Standard Steel Welded Wire Mesh,Mexico,07-01-20,07-21-20,Affirmative,5109,N/A,N/A,N/A
731-TA-1527,Standard Steel Welded Wire Mesh,Mexico,07-01-20,07-21-20,Affirmative,5109,N/A,N/A,N/A
731-TA-1528,Seamless Refined Copper Pipe and Tube,Vietnam,07-01-20,07-21-20,Affirmative,5108,N/A,N/A,N/A
701-TA-654,"Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe",Korea,07-09-20,07-29-20,Affirmative,5114,N/A,N/A,N/A
701-TA-655,"Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe",Russia,07-09-20,07-29-20,Affirmative,5114,N/A,N/A,N/A
731-TA-1529,"Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe",Czech Republic,07-09-20,07-29-20,Affirmative,5114,N/A,N/A,N/A
731-TA-1530,"Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe",Korea,07-09-20,07-29-20,Affirmative,5114,N/A,N/A,N/A
731-TA-1531,Seamless Carbon and Alloy Steel,Russia,07-09-20,07-29-20,Affirmative,5114,N/A,N/A,N/A
731-TA-1532,"Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe",Ukraine,07-09-20,07-29-20,Affirmative,5114,N/A,N/A,N/A
701-TA-656,Metal Lockers,China,07-09-20,07-30-20,Affirmative,5113,N/A,N/A,N/A
731-TA-1533,Metal Lockers,China,07-09-20,07-30-20,Affirmative,5113,N/A,N/A,N/A
731-TA-1534,Methionine,France,07-29-20,08-19-20,Affirmative,5121,N/A,N/A,N/A
731-TA-1535,Methionine,Japan,07-29-20,08-19-20,Affirmative,5121,N/A,N/A,N/A
731-TA-1536,Methionine,Spain,07-29-20,08-19-20,Affirmative,5121,N/A,N/A,N/A
701-TA-657,Chassis and Subassemblies,China,07-30-20,08-20-20,Affirmative,5120,N/A,N/A,N/A
731-TA-1537,Chassis and Subassemblies,China,07-30-20,08-20-20,Affirmative,5120,N/A,N/A,N/A
